Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
Finland,2018,0.1412,POINT(25.920916 63.246778),FIN,62.51,-1.614781697,85,-1.762790618,1.490208143,1.083820984,0.1315,0.2531,7.755000114,0.582211598,1.4
Finland,2019,0.1412,POINT(25.920916 63.246778),FIN,62.51,-0.7546372,85,-1.762790618,1.490208143,1.083820984,0.1315,0.2531,7.251999855,0.582211598,1.4
Lebanon,2018,0.1312,POINT(35.843409 33.875063),LBN,145.1098085,-21.97262508,28,4.647116274,-0.342081302,6.076989079,0.1314,0.7886,6.166999817,0.001227934,6.4
Lebanon,2019,0.1312,POINT(35.843409 33.875063),LBN,145.1098085,-21.97262508,28,4.647116274,-0.342081302,6.076989079,0.1314,0.7886,6.196000099,0.001227934,6.4
Armenia,2018,0.1291,POINT(44.673665 40.769627),ARM,87.48378418,-9.372598314,35,2.044111039,4.95169918,2.52023382,0.1272,0.4576,17.71199989,5.815620913,11
Armenia,2019,0.1291,POINT(44.673665 40.769627),ARM,87.48378418,-9.372598314,35,2.044111039,4.95169918,2.52023382,0.1272,0.4576,17.70700073,5.815620913,11
United Kingdom,2018,0.0532,POINT(-3.276575 54.702355),GBR,88.98,-4.311481073,80,1.228047858,0.729787206,2.292839903,0.1211,0.6944,3.953999996,0.439557623,3.6
United Kingdom,2019,0.0532,POINT(-3.276575 54.702355),GBR,88.98,-4.311481073,80,1.228047858,0.729787206,2.292839903,0.1211,0.6944,3.809000015,0.439557623,3.6
Ireland,2018,0.0312,POINT(-7.97946 52.865196),IRL,78.68,10.69330513,73,16.87265141,7.142041132,0.488370168,0.1206,0.155,5.690999985,0.139401921,3.1
Ireland,2019,0.0312,POINT(-7.97946 52.865196),IRL,78.68,-9.454939,73,16.87265141,7.142041132,0.488370168,0.1206,0.155,5.28399992,0.139401921,3.1
Poland,2018,0.0468,POINT(19.025816 52.097718),POL,51.28,-0.993744167,60,2.850952983,5.137713695,1.812951565,0.1183,0.1712,3.673000097,0.955618388,3.8
Poland,2019,0.0468,POINT(19.025816 52.097718),POL,51.28,-0.993744167,60,2.850952983,5.137713695,1.812951565,0.1183,0.1712,3.270999908,0.955618388,3.8
Italy,2018,0.1147,POINT(12.674297 42.638426),ITA,132.71,2.583620015,52,1.901008618,0.950146897,1.137487636,0.1145,0.3027,10.20499992,0.071201821,2.6
Italy,2019,0.1147,POINT(12.674297 42.638426),ITA,132.71,2.583620015,52,1.901008618,0.950146897,1.137487636,0.1145,0.3027,9.215000153,0.071201821,2.6
Solomon Islands,2018,0.5254,POINT(162.828854 -9.735434),SLB,29.07788551,-3.623565128,44,0.863940783,1.179036123,0.48868676,0.111,0.6708,1.789999962,22.59696839,17.1
Solomon Islands,2019,0.5254,POINT(162.828854 -9.735434),SLB,29.07788551,-3.623565128,44,0.863940783,1.179036123,0.48868676,0.111,0.6708,1.792999983,22.59696839,17.1
Austria,2018,0.1522,POINT(13.199959 47.200034),AUT,86.19,2.371858764,76,0.926966323,1.8470512,1.998381877,0.1068,0.4146,4.785999775,0.13947014,2.9
Austria,2019,0.1522,POINT(13.199959 47.200034),AUT,86.19,2.371858764,76,0.926966323,1.8470512,1.998381877,0.1068,0.4146,4.635000229,0.13947014,2.9
Netherlands,2018,0.5143,POINT(5.534607 52.237989),NLD,65.12,10.84268307,82,-26.19545708,2.00369176,1.703497947,0.1054,0.7222,3.880000114,0.364723408,3.3
Netherlands,2019,0.5143,POINT(5.534607 52.237989),NLD,65.12,10.84268307,82,-26.19545708,2.00369176,1.703497947,0.1054,0.7222,3.760999918,0.364723408,3.3
